product_name,category,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo)
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",166,146
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",369,1221
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",37,30
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",15,12
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",309,268
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",73,64
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,100,391
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",320,937
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",106,81
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",39,35
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",112,88
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",36,37
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,30,81
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",58,43
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",92,79
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",25,35
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",206,179
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",488,580
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,223,604
Atliq_Curtains,"Home Care",300,BOGOF,68,263
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",57,75
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,77,232
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",465,646
Atliq_Curtains,"Home Care",300,BOGOF,45,185
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",39,29
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",36,29
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,34,147
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,75,252
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",45,38
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",63,151
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",351,449
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",27,21
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",54,48
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",100,175
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,423,1801
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",64,49
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",196,509
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",15,12
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",66,147
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,100,403
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,122,326
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,51,196
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,193,773
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",241,344
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,80,276
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",103,88
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",232,294
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",318,448
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",166,157
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",101,90
Atliq_Curtains,"Home Care",300,BOGOF,45,121
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,30,118
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",49,70
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",52,71
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,49,194
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",54,78
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",52,49
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,423,1734
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",31,26
Atliq_Curtains,"Home Care",300,BOGOF,52,173
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",80,100
Atliq_Curtains,"Home Care",300,BOGOF,31,77
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",197,285
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,109,453
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",329,470
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",259,225
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",71,90
Atliq_Curtains,"Home Care",300,BOGOF,31,122
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",64,89
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",180,255
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",36,34
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",50,43
Atliq_Curtains,"Home Care",300,BOGOF,57,188
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",364,451
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,59,195
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",437,1306
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,82,322
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,76,300
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",27,31
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,135,534
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,68,235
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,27,106
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,363,990
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",196,174
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,133,559
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",58,81
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,35,122
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,38,133
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",351,305
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",136,121
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,252,985
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",260,681
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",150,123
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",49,69
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,51,203
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",103,159
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,61,234
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",330,290
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,267,1054
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",25,22
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",39,36
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",68,76
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",241,209
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",92,120
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",68,76
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",92,147
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",68,61
Atliq_Curtains,"Home Care",300,BOGOF,21,82
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",33,47
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",25,20
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",103,158
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,60,238
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",68,93
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,24,70
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",276,345
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,97,385
Atliq_Curtains,"Home Care",300,BOGOF,21,54
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",21,19
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",55,45
Atliq_Curtains,"Home Care",300,BOGOF,59,195
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,111,445
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,33,109
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",52,72
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",89,112
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",87,77
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,47,163
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",43,48
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",169,236
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",35,45
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",30,22
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,66,226
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",155,218
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,82,273
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",264,361
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",119,107
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,114,502
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,48,187
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,112,460
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",309,265
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",64,53
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",283,430
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,61,234
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",21,17
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",24,18
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,195,776
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",89,72
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",196,303
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",33,30
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,167
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",42,65
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,40,119
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",343,1056
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,218
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",253,389
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,36,124
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",43,58
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",192,165
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",57,72
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",304,273
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",294,438
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",210,321
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",325,289
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",346,491
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",89,129
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",322,985
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",56,50
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",33,27
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",350,311
Atliq_Curtains,"Home Care",300,BOGOF,49,199
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,47,162
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",63,71
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",255,219
Atliq_Curtains,"Home Care",300,BOGOF,43,167
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,56,184
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",85,128
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",327,310
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,52,134
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",257,364
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",40,62
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,38,117
Atliq_Curtains,"Home Care",300,BOGOF,24,96
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,33,126
Atliq_Curtains,"Home Care",300,BOGOF,43,186
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",187,289
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",103,177
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",110,"50% OFF",103,136
Atliq_Curtains,"Home Care",300,BOGOF,59,201
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",37,31
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",80,102
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",255,377
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",78,102
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",96,77
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",92,125
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",124,184
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",329,467
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",131,203
"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,206,541
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,43,109
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",31,28
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",31,25
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",66,77
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",362,521
Atliq_Curtains,"Home Care",300,BOGOF,59,206
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",358,315
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",330,323
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",255,425
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,78,334
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",210,268
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",59,48
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",99,88
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",28,22
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,49,163
Atliq_Curtains,"Home Care",300,BOGOF,36,118
Atliq_Curtains,"Home Care",300,BOGOF,59,196
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",112,178
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",183,215
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",77,68
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",173,250
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,33,131
Atliq_Curtains,"Home Care",300,BOGOF,64,250
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,87,341
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",84,121
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",33,51
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",27,22
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",96,120
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",73,170
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",50,"25% OFF",22,18
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",441,626
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",114,249
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",141,125
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",112,107
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,52,211
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",105,137
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,49,166
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",63,51
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",215,371
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,21,73
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",371,519
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",34,31
"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care",190,"50% OFF",58,68
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",183,327
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",345,520
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,22,88
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,56,220
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",105,92
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",103,134
Atliq_Curtains,"Home Care",300,BOGOF,30,117
"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care",90,"25% OFF",82,74
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,58,158
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",165,232
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",265,328
Atliq_Curtains,"Home Care",300,BOGOF,50,149
Atliq_Curtains,"Home Care",300,BOGOF,30,117
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,190,733
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",110,130
Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,50,149
"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care",65,"50% OFF",87,127
Atliq_Curtains,"Home Care",300,BOGOF,75,252
Atliq_Curtains,"Home Care",300,BOGOF,43,111
Atliq_Fusion_Container_Set_of_3,"Home Care",415,"25% OFF",101,89
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",290,"25% OFF",234,208
"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care",62,"50% OFF",129,170
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",435,622
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",388,1129
Atliq_Home_Essential_8_Product_Combo,Combo1,3000,"500 Cashback",121,200
Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,124,324
Atliq_Scrub_Sponge_For_Dishwash,"Home Care",55,"25% OFF",25,18
"Atliq_Suflower_Oil (1L)","Grocery & Staples",156,"25% OFF",348,337
"Atliq_Masoor_Dal (1KG)","Grocery & Staples",172,"33% OFF",301,454
Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,42,160
"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples",860,"33% OFF",402,611
"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,460,1168
